State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.05209	3.08740	3.07955	3.01678	3.05601	3.13055	3.13447	3.14624	3.07563	3.09524	3.10309	3.05994	2.98148	2.95009	2.91086	2.90302	2.90302	2.88732	2.87163	2.86379	2.75787
2	0.68033	0.67989	0.68244	0.68366	0.68174	0.68038	0.68165	0.68152	0.68608	0.69186	0.69958	0.70585	0.71155	0.71668	0.72278	0.72787	0.73418	0.73979	0.74602	0.75282	0.75904
3	2.31675	2.34288	2.32546	2.35159	2.40820	2.44304	2.46481	2.50836	2.43868	2.26885	2.10772	2.04240	2.02498	2.02933	1.92046	1.89433	1.86821	1.87692	1.82466	1.78982	1.75498
4	2.54128	2.55006	2.53918	2.55801	2.56345	2.56596	2.53793	2.54002	2.52914	2.52663	2.53082	2.49944	2.49567	2.47601	2.47308	2.45760	2.41953	2.38606	2.34212	2.30656	2.27435
5	3.27396	3.30602	3.41290	3.38083	3.42537	3.44140	3.52690	3.56965	3.56787	3.53937	3.52155	3.47524	3.45743	3.34165	3.21518	3.10652	3.01389	2.97114	2.87674	2.79124	2.69149
6	1.00277	1.02727	1.01094	1.01094	0.97664	0.98317	0.99461	1.00114	0.99297	0.92438	0.88518	0.86068	0.79862	0.77413	0.75453	0.73656	0.73983	0.70390	0.70880	0.70553	0.69410
7	0.91091	0.86030	0.85263	0.82656	0.82503	0.79436	0.76369	0.72995	0.70081	0.73302	0.74069	0.73455	0.75449	0.75295	0.74835	0.76215	0.73609	0.72688	0.72535	0.76369	0.77289
8	3.36929	3.35353	3.21954	3.18014	3.14861	3.10920	3.07374	2.99098	3.01069	2.89641	2.71120	2.67967	2.58509	2.48658	2.41958	2.41958	2.38412	2.38412	2.49446	2.35259	2.33289
9	1.35053	1.35325	1.32744	1.33423	1.39809	1.44564	1.47282	1.49863	1.55298	1.59646	1.55026	1.51901	1.44292	1.52309	1.46195	1.44972	1.49455	1.52445	1.56249	1.54075	1.52037
10	3.62948	3.53949	3.47200	3.38576	3.25828	3.18329	3.13080	3.05956	2.81960	2.60213	2.44840	2.57588	2.64337	2.58338	2.77460	2.77835	2.76335	2.70336	2.60588	2.66962	2.84584
