State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.88300	6.15309	6.49935	6.86639	7.10185	7.30614	7.22997	7.04645	6.66556	6.65171	6.26043	5.70987	5.98342	6.60323	7.20919	7.47235	7.55545	7.48620	7.23343	6.85600	6.45780
2	0.81716	0.80652	0.78922	0.76266	0.72485	0.66695	0.59047	0.49619	0.41777	0.37926	0.36444	0.36335	0.37539	0.39513	0.42079	0.44823	0.47680	0.49909	0.51631	0.53102	0.54375
3	0.86869	0.83409	0.84563	0.81872	0.80334	0.81103	0.76106	0.73416	0.71878	0.72263	0.76491	0.79950	0.79950	0.84563	0.82256	0.80334	0.84563	0.86484	0.87638	0.93019	0.95709
4	0.87004	0.82684	0.78031	0.73045	0.66989	0.60342	0.52624	0.44795	0.38628	0.35045	0.34861	0.35341	0.36523	0.38258	0.40917	0.47454	0.57683	0.69094	0.79840	0.89478	0.98821
5	0.94176	0.92447	0.88202	0.82856	0.79398	0.76882	0.75624	0.71065	0.66662	0.66662	0.66348	0.67134	0.67449	0.72323	0.74524	0.77983	0.87888	1.07698	1.23420	1.37256	1.51406
6	0.93843	0.84617	0.73806	0.63427	0.57517	0.54634	0.51607	0.51462	0.50597	0.50309	0.51751	0.49877	0.48435	0.47859	0.46994	0.51895	0.59391	0.83032	1.22241	1.69379	2.23292
7	1.96942	1.80293	1.57824	1.25068	0.95019	0.67136	0.54548	0.44261	0.37629	0.33027	0.30590	0.32079	0.36140	0.41148	0.51164	0.80401	1.48891	2.50678	3.47998	4.15811	4.51139
8	6.13563	6.76519	7.51301	8.19823	8.30257	7.50953	5.59998	3.88520	2.99129	2.59477	2.64347	3.41564	5.05389	10.09735	18.27471	25.26251	28.03119	27.16163	24.59120	22.01035	19.40514
9	1.79766	1.93198	2.14664	2.59756	3.13722	3.86516	4.47198	4.74900	4.33646	4.45639	4.24052	2.45965	2.37450	2.51601	2.84700	3.09285	2.80263	2.36131	1.98355	1.70173	1.52184
10	4.05078	4.80533	5.94379	7.58859	10.50753	15.39891	23.29197	33.47186	43.37045	47.15979	49.36388	54.07986	51.28668	43.41017	31.45309	20.05863	12.69508	8.41264	6.08609	4.48101	3.48817
