State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.88626	15.44173	2.88540	1.03436	3.10341	6.26062	6.95037	0.76623
2	79.28881	0.18626	0.58411	0.75400	0.69961	0.36445	0.58708	1.17797
3	0.79839	1.04216	2.53156	0.71470	2.10794	0.76493	0.81468	0.63705
4	8.31005	0.44930	2.89151	2.16150	2.53108	0.34862	0.62456	0.33901
5	1.95188	0.51392	3.50064	2.22668	3.52014	0.66350	0.82745	0.16460
6	2.12886	0.18188	1.23196	2.30660	0.88527	0.51752	0.75194	0.08118
7	2.26722	0.28397	0.89699	2.27603	0.73923	0.30591	1.23915	0.15847
8	0.88228	3.35216	2.72297	2.23697	2.71148	2.64355	10.08419	0.09249
9	2.55895	3.20020	1.48677	1.17750	1.55042	4.24065	2.90164	0.51782
10	0.92728	58.01869	7.96240	1.46990	2.44865	49.36209	20.60096	0.36165
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
