State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k79me2	H3k4me1	H3k04me2	H3k09ac	H3k4me3	H2az	H3k27me3
1	0.01129490793635817	2.466418395478504E-4	0.027397725096683964	7.146947948974246E-4	0.007339395613680431	0.08696676771123013	0.0015162266365929915	0.011200801181187952	0.023006373100423395	0.38837485655599213
2	0.005538341027842664	6.359897159999917E-4	4.3787459392996434E-4	6.950437031501584E-5	0.0016036502247599505	2.721753714687964E-4	2.920077877055795E-4	4.460635106087824E-4	0.004175669796500119	0.0045115069327366355
3	0.43148407520112786	0.036031063384113576	0.030629513990267324	0.007923366971769357	0.0013204615782131293	9.262274157959939E-4	0.005325994109965508	0.013906803926309766	0.023671838062087537	0.009026822327504019
4	0.0019635909275415365	0.07113858505355643	0.035034815778915804	0.018775561595033574	0.004670999351663777	3.574609141110487E-4	0.001966045467088337	7.768668956174721E-4	5.153586125129404E-4	7.263227264021676E-4
5	0.0023217989895013185	0.13635755871109062	0.47477976712109693	0.1717442868590898	0.02696488810480034	0.009057616516321112	0.01068575956604327	0.0016477995284272897	7.64591018662685E-4	0.0021061684265783528
6	0.004856744287158212	0.09538051018887234	0.8580709862095895	0.9372805235100933	0.055771343819756125	0.02380655401221204	0.015584229541873714	0.003274072762651121	5.614903026205469E-4	8.949855866416484E-4
7	0.006059867915018732	0.03864744853103816	0.09447487209213984	0.5171690467315425	0.03274033818238131	0.006331472057856753	0.005339731989523767	0.001607482921094864	0.0013179400358484244	5.624605692344899E-4
8	0.0116169966547916	0.0799195559788447	0.6580584243318554	0.8190377870334983	0.6147054508414512	0.8825503538342899	0.6123756041072	0.388457811200492	0.045461893332252486	0.010241287843596987
9	0.0029949687915899197	0.0060895114106083795	0.023115689193764482	0.006953139342973785	0.581583390898483	0.51908396277372	0.2529985814129148	0.0473174518575037	0.16795431284928558	0.0034665442845448957
10	0.003263230668019309	2.493790783615924E-4	0.027941345079481567	0.16744570739673148	0.27014794911348755	0.99188940008069	0.8441502715117547	0.8908415410748451	0.6795144983300568	0.03442762152315752
