State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9087659482405204	0.06820181358774036	3.93010184969211E-4	0.0	4.3795111473627274E-4	0.0	0.0	0.0	0.0031544333945827214	0.019046843477451055
2	8.90127849411278E-4	0.9912627107253065	0.001239322467122631	4.3962017112216445E-4	0.0	0.0	0.0	0.0	0.006005520876528362	1.6269791050905176E-4
3	2.493381504185116E-4	0.100298796677211	0.8907980301547161	0.0037107179082374792	1.1172276998681976E-5	0.0	6.631502656967024E-4	0.003268243714349047	6.665711824578152E-4	3.3397966991462023E-4
4	0.0	0.004330732348562866	4.126535870097422E-4	0.9642861810779702	0.015440702483712898	0.0	0.005561911251077035	4.73060399533631E-5	0.009820933133848365	9.958007786541127E-5
5	1.8596216272075554E-4	0.0	1.317948417535948E-5	0.06265577903110854	0.9091229126129458	0.018956349666317786	7.818776734664891E-4	0.006496870587095513	0.0017870687821695446	0.0
6	0.0	0.0	0.0	0.0	0.01877265068761129	0.8535786207016755	0.10810607402712388	0.01954265458358945	0.0	0.0
7	0.0	0.0	3.3081933700535607E-4	0.02050784561350845	5.870429827996129E-4	0.1032740091717619	0.8452508976066452	0.024893388579029042	0.005023995270550039	1.3200143870034122E-4
8	0.0	0.0	0.003663187574633321	2.0682074401053892E-4	0.015644146275615792	0.04751727021826449	0.0654807232486408	0.8144034040564604	0.010410091983191571	0.04267435589918318
9	0.0011411679717768222	0.17571365625582958	4.4267844199316484E-4	0.030855550241307636	0.001312256113062186	0.0	0.004177458417530206	0.0034827832478772107	0.7313939498649447	0.05148049944567863
10	0.02122156847832633	0.012779071470788494	2.8319637103037455E-4	8.834341656629517E-4	0.0	0.0	3.269751183006611E-4	0.04107597828842556	0.14628541716203675	0.7771443589454288
